Site,Dist,Site Name,Start,End,Latitude,Longitude,Source,State,Height,Bar Height,WMO
1022,1,WYNDHAM SIX MILE HOTEL,1900,1917,-15.4997,128.1997,....., WA,         ..,       ..,     ..
1023,1,EL QUESTRO,1967,  ..,-16.0086,127.9806,GPS, WA,90,       ..,     ..
1024,1,ELLENBRAE,1986,  ..,-15.9572,127.0628,GPS, WA,300,       ..,     ..
1025,1,DOONGAN,1988,  ..,-15.3797,126.3114,GPS, WA,385,386,94215
1026,1,DRYSDALE RIVER STATION,1988,  ..,-15.7031,126.3781,GPS, WA,370,       ..,     ..
1027,1,DIGGERS REST,1971,  ..,-15.6394,128.0803,GPS, WA,14,       ..,     ..
1028,1,HOME VALLEY,1991,  ..,-15.7231,127.8292,GPS, WA,10,       ..,     ..
1029,1,WYNDHAM NORTH,1989,1996,-15.4467,128.1075,....., WA,15,       ..,     ..
1030,1,KIMBERLEY COASTAL CAMP,1995,  ..,-14.5786,125.9133,GPS, WA,3,       ..,     ..
1031,1,FARAWAY BAY,1996,  ..,-13.96,127.1964,GPS, WA,60,       ..,     ..
1032,1,MCGOWAN ISLAND,1997,2000,-14.1472,126.6483,GPS, WA,6,       ..,     ..
1033,1,DRYSDALE RIVER AIRSTRIP,1999,2003,-15.7119,126.3817,GPS, WA,380,       ..,     ..
1034,1,WEST BASTION,2001,  ..,-15.4533,128.1239,....., WA,333,       ..,     ..
1035,1,PARRY CREEK FARM,2002,  ..,-15.5972,128.2783,GPS, WA,20,       ..,     ..
1036,,DOONGAN ASA,2012,  ..,-15.3792,126.3108,GPS, WA,383.5,384.9,99215
2000,2,ALICE DOWNS,1904,2004,-17.7569,127.9386,GPS, WA,363,       ..,     ..
2001,2,ARGYLE DOWNS,1890,  ..,-16.5039,128.9173,GPS, WA,120,       ..,     ..
2002,2,BOHEMIA DOWNS,1906,1959,-18.8833,126.2333,....., WA,         ..,       ..,     ..
2003,2,BOW RIVER,1945,1995,-16.87,128.1836,....., WA,194,       ..,     ..
2004,2,GLEN HILL,1962,1964,-16.5833,128.3667,....., WA,         ..,       ..,     ..
2005,2,CARLTON HILL,1897,  ..,-15.4864,128.5344,GPS, WA,20,       ..,     ..
2006,2,ASCOT,1910,1921,-15.5,128.25,....., WA,         ..,       ..,     ..
2007,2,DUNHAM RIVER STATION,1920,1973,-16.3167,128.25,....., WA,         ..,       ..,     ..
2008,2,FLORA VALLEY OLD,1898,1975,-18.3167,128,....., WA,         ..,       ..,     ..
2009,2,GIBB RIVER,1922,  ..,-16.4203,126.4411,GPS, WA,488,       ..,     ..
2010,2,GORDON DOWNS,1919,1997,-18.7506,128.5842,....., WA,354,       ..,     ..
2011,2,OLD HALLS CREEK,1890,1999,-18.2519,127.7817,....., WA,360,       ..,     ..
2012,2,HALLS CREEK METEOROLOGICAL OFFICE,1944,  ..,-18.2292,127.6636,GPS, WA,422,423.9,99201
2013,2,IVANHOE STATION,1907,  ..,-15.69,128.6833,GPS, WA,40,       ..,     ..
2014,2,KIMBERLEY RES.STATION,1944,  ..,-15.6547,128.7092,GPS, WA,31,       ..,     ..
2015,2,LAMBOO,1920,2007,-18.4086,127.3547,GPS, WA,400,       ..,     ..
2016,2,LISSADELL,1895,  ..,-16.6742,128.5533,GPS, WA,120,       ..,     ..
2017,2,LOUISA DOWNS,1915,1995,-18.7106,126.7111,....., WA,248,       ..,     ..
2018,2,MABEL DOWNS,1922,2004,-17.1792,128.1217,GPS, WA,254,       ..,     ..
2019,2,MARGARET RIVER STATION,1913,  ..,-18.6253,126.8617,GPS, WA,280,       ..,     ..
2020,2,MOOLA BULLA,1903,  ..,-18.1894,127.5011,GPS, WA,430,       ..,     ..
2021,2,MOUNT AMHURST,1925,  ..,-18.3869,126.9892,GPS, WA,300,       ..,     ..
2022,2,MOUNT WINIFRED,2000,  ..,-18.016,126.3033,....., WA,180,       ..,     ..
2023,2,NICHOLSON,1921,  ..,-18.031,128.8941,GPS, WA,380,       ..,     ..
2024,2,ORD RIVER,1894,1967,-17.4,128.85,....., WA,         ..,       ..,     ..
2025,2,ROCKHOLE DOWNS,1922,1949,-18.3667,127.5667,....., WA,         ..,       ..,     ..
2026,2,RUBY PLAINS,1900,  ..,-18.5958,127.6419,GPS, WA,450,       ..,     ..
2027,2,SPEEWA STATION,1908,1944,-16.35,128.0333,....., WA,         ..,       ..,     ..
2028,2,SPRING CREEK,1927,  ..,-16.818,128.8656,GPS, WA,180,       ..,     ..
2029,2,STURT CREEK,1899,  ..,-19.1625,128.1633,GPS, WA,400,       ..,     ..
2030,2,YULMBU,1950,  ..,-17.2986,126.9158,GPS, WA,450,       ..,     ..
2031,2,TEXAS DOWNS,1922,1995,-17.0103,128.4669,....., WA,250,       ..,     ..
2032,2,WARMUN,1897,  ..,-17.0156,128.2175,GPS, WA,203,205,94213
2033,2,TURNER RIVER,1920,1965,-17.8,128.3,....., WA,         ..,       ..,     ..
2034,2,ELVIRE,1962,1969,-18.45,127.95,....., WA,         ..,       ..,     ..
2035,2,GREENVALE,1914,1944,-17.15,127.75,....., WA,         ..,       ..,     ..
2036,2,OLD MORNINGTON HOMESTEAD,2002,  ..,-17.3922,126.2306,GPS, WA,280,       ..,     ..
2037,2,VIOLET VALLEY,1912,1941,-17.3,128,....., WA,         ..,       ..,     ..
2038,2,KUNUNURRA,1962,1991,-15.7828,128.7353,....., WA,47,       ..,     ..
2039,2,DIMOND GORGE,1963,1989,-17.6667,126.0333,....., WA,         ..,       ..,     ..
2040,2,SAUNDERS CREEK,1964,1974,-18.0333,127.9833,....., WA,         ..,       ..,     ..
2041,2,ORD RIVER REGENERATION STATION,1962,1997,-17.385,128.9231,GPS, WA,170,       ..,     ..
2042,2,GLENROY,1932,1993,-17.3594,126.1086,....., WA,240,       ..,     ..
2043,2,MOUNT KRAUSS,1999,  ..,-18.3368,126.1243,GPS, WA,160,       ..,     ..
2044,2,LAKE ARGYLE RESORT,1969,  ..,-16.1119,128.7414,GPS, WA,163,       ..,     ..
2045,2,FOAL CREEK,1970,1970,-17.3167,127.7,....., WA,         ..,       ..,     ..
2046,2,ADA VALE,1920,1925,-16.95,128.1,....., WA,         ..,       ..,     ..
2047,2,BEDFORD DOWNS,1970,  ..,-17.2631,127.4617,GPS, WA,530,       ..,     ..
2048,2,FLORA VALLEY,1970,  ..,-18.2972,128.4419,GPS, WA,380,       ..,     ..
2049,2,SOPHIE DOWNS,1980,  ..,-18.1947,127.8147,GPS, WA,400,       ..,     ..
2050,2,SPRINGVALE,1991,  ..,-17.7842,127.6853,GPS, WA,420,       ..,     ..
2051,2,BILLILUNA,1970,  ..,-19.5558,127.6658,GPS, WA,305,       ..,     ..
2052,2,TROPICAL FARM - ORD RIVER,1980,2005,-15.8367,128.7397,GPS, WA,40,       ..,     ..
2053,2,LANSDOWNE,1947,  ..,-17.6133,126.7442,GPS, WA,400,       ..,     ..
2054,2,SPRINGVALE WEST,1971,1972,-17.8333,127.2333,....., WA,         ..,       ..,     ..
2055,2,LEWIS CREEK,1936,1940,-19.1,128.5333,....., WA,         ..,       ..,     ..
2056,2,KUNUNURRA AERO,1971,  ..,-15.7814,128.71,GPS, WA,44,44.4,94216
2057,2,BUNGLE BUNGLE NATIONAL PARK,1990,2005,-17.4206,128.2992,GPS, WA,320,       ..,     ..
2058,2,EUROTO,1935,1940,-18.35,128.4833,....., WA,         ..,       ..,     ..
2059,2,RUBY CREEK GOLDMINE,1898,1900,-18.4333,127.75,....., WA,         ..,       ..,     ..
2060,2,KINGSTON REST,1969,  ..,-16.0397,128.415,GPS, WA,69,       ..,     ..
2061,2,CARRANYA,1963,  ..,-19.3322,127.6367,GPS, WA,338,       ..,     ..
2062,2,FOX RIVER,1975,  ..,-18.4233,120.0308,GPS, WA,310,       ..,     ..
2063,2,LARRANGANNI,1976,1978,-19.8761,128.4581,....., WA,470,       ..,     ..
2064,2,ARGYLE AERODROME,1986,  ..,-16.6381,128.4517,GPS, WA,164,165,94217
2065,2,MORNINGTON,1991,2004,-17.3936,126.2281,GPS, WA,280,       ..,     ..
2066,2,CARRANYA 2,1991,1995,-19.1764,127.6497,....., WA,350,       ..,     ..
2067,2,KUNUNURRA CHECKPOINT,1993,  ..,-15.9816,128.9991,GPS, WA,80,       ..,     ..
2068,2,MARION DOWNS,1993,  ..,-17.0716,126.8494,GPS, WA,460,       ..,     ..
2069,2,KACHANA,1993,  ..,-16.4433,127.7836,GPS, WA,270,       ..,     ..
2070,2,PHILLIPS RANGE,1994,1995,-16.8828,126.1267,....., WA,416,       ..,     ..
2071,2,HALLS CREEK COMPARISON (OLD),1996,2001,-18.2303,127.6625,GPS, WA,422,424,     ..
2072,2,BEDFORD DOWNS AIRSTRIP,2011,  ..,-17.2797,127.4648,GPS, WA,531,       ..,     ..
2073,2,MARGARET RIVER AIRSTRIP,2006,  ..,-18.6219,126.8831,GPS, WA,270,       ..,     ..
2074,2,MOOLA BULLA AIRSTRIP,2003,  ..,-18.1958,127.4948,GPS, WA,440,       ..,     ..
2075,2,BULKA,1995,  ..,-19.0372,126.0933,GPS, WA,190,       ..,     ..
2076,2,MORNINGTON,2004,  ..,-17.5169,126.1108,GPS, WA,190,       ..,     ..
2077,2,SIDDINS CREEK,2009,  ..,-16.9203,126.5511,GPS, WA,410,       ..,     ..
2078,2,LARRAWA AIRFIELD,2009,  ..,-18.8318,126.5301,GPS, WA,270,       ..,     ..
2079,2,HALLS CREEK AIRPORT,2015,  ..,-18.2336,127.6667,GPS, WA,409.4,410.7,94212
3000,3,BEAGLE BAY,1902,  ..,-16.9806,122.6667,GPS, WA,9,       ..,     ..
3001,3,COUNTRY DOWNS,1969,  ..,-17.2767,122.5711,GPS, WA,153,       ..,     ..
3002,3,BROOME POST OFFICE,1889,1953,-17.95,122.25,....., WA,19,       ..,     ..
3003,3,BROOME AIRPORT,1939,  ..,-17.9475,122.2353,GPS, WA,7.4,9,94203
3004,3,CAPE LEVEQUE,1917,  ..,-16.3961,122.9278,GPS, WA,25,       ..,     ..
3005,3,FAIRFIELD STATION,1950,  ..,-17.5725,125.0675,GPS, WA,120,       ..,     ..
3006,3,FITZROY CROSSING COMP.,1893,2000,-18.1919,125.5644,GPS, WA,114,       ..,     ..
3007,3,DERBY POST OFFICE,1882,1997,-17.3044,123.6292,....., WA,8,9.4,     ..
3008,3,ELLENDALE,1919,  ..,-17.9281,124.8108,GPS, WA,120,       ..,     ..
3009,3,JUBILEE DOWNS,1937,  ..,-18.3547,125.3033,GPS, WA,100,       ..,     ..
3010,3,KIMBERLEY DOWNS,1885,  ..,-17.3925,124.3578,GPS, WA,90,       ..,     ..
3011,3,LEOPOLD DOWNS,1899,  ..,-17.7535,125.3807,GPS, WA,220,       ..,     ..
3012,3,LIVERINGA UPPER,1898,2002,-18.0483,124.1728,GPS, WA,60,       ..,     ..
3013,3,LULUIGUI,1920,1983,-18.145,124.0275,....., WA,80,       ..,     ..
3014,3,GOGO STATION,1908,  ..,-18.2914,125.5869,GPS, WA,150,       ..,     ..
3015,3,MEDA,1911,2000,-17.3681,123.9956,GPS, WA,75,       ..,     ..
3016,3,MOUNT ANDERSON,1899,1986,-18.0358,123.9286,....., WA,40,       ..,     ..
3017,3,MOUNT HOUSE STATION,1923,  ..,-17.0514,125.7056,GPS, WA,270,       ..,     ..
3018,3,MYROODAH,1907,  ..,-18.1225,124.2692,GPS, WA,60,       ..,     ..
3019,3,NAPIER DOWNS,1912,  ..,-17.3306,124.8167,GPS, WA,80,       ..,     ..
3020,3,NERRIMA,1935,  ..,-18.4922,124.3992,GPS, WA,95,       ..,     ..
3021,3,NOONKANBAH,1898,1992,-18.4875,124.8231,....., WA,70,       ..,     ..
3022,3,QUANBUN DOWNS,1898,  ..,-18.3817,125.2267,GPS, WA,100,       ..,     ..
3023,3,ROEBUCK PLAINS,1902,  ..,-17.9311,122.4725,GPS, WA,15,       ..,     ..
3024,3,UDIALLA,1930,  ..,-17.9464,123.7383,GPS, WA,20,       ..,     ..
3025,3,COCKATOO ISLAND,1948,2014,-16.0992,123.6161,GPS, WA,91,       ..,     ..
3026,3,YEEDA,1890,  ..,-17.6153,123.6483,GPS, WA,5,       ..,     ..
3027,3,FOSSIL DOWNS,1904,  ..,-18.1386,125.7764,GPS, WA,120,       ..,     ..
3028,3,ANNA PLAINS,1908,  ..,-19.2536,121.4861,GPS, WA,10,       ..,     ..
3029,3,FRAZIER DOWNS,1910,1980,-18.7983,121.7125,....., WA,9,       ..,     ..
3030,3,BIDYADANGA,1891,  ..,-18.6844,121.7803,GPS, WA,11,12,94202
3031,3,LOMBADINA MISSION,1946,1993,-16.5167,122.8908,....., WA,20,       ..,     ..
3032,3,DERBY AERO,1951,  ..,-17.3706,123.6611,GPS, WA,6.2,6.7,95205
3033,3,BLINA,1938,  ..,-17.7472,124.5283,GPS, WA,60,       ..,     ..
3034,3,ECO BEACH,1998,1999,-18.3381,122.0758,GPS, WA,15,       ..,     ..
3035,3,MUNJA,1922,1948,-16.4,124.95,....., WA,         ..,       ..,     ..
3036,3,BROOME QUARANTINE STATION,1952,1953,-18,122.2167,....., WA,9,       ..,     ..
3037,3,MUNKAYARRA,1958,1958,-17.4333,123.75,....., WA,         ..,       ..,     ..
3038,3,LIVERINGA 2,1958,1960,-17.95,124.1667,....., WA,         ..,       ..,     ..
3039,3,SILENT GROVE,1959,1972,-16.9667,125.3,....., WA,         ..,       ..,     ..
3040,3,CAMBALLIN,1958,  ..,-17.9903,124.1922,GPS, WA,45,       ..,     ..
3041,3,KILTO STATION,1962,  ..,-17.6919,122.7169,GPS, WA,60,       ..,     ..
3042,3,TALGARNO,1959,1963,-19.2833,121.5,....., WA,3,21,     ..
3043,3,CHRISTMAS CREEK HOMESTEAD,1960,  ..,-18.8772,125.9207,GPS, WA,160,       ..,     ..
3044,3,BROOKING SPRINGS,1901,  ..,-18.1103,125.6431,GPS, WA,110,       ..,     ..
3045,3,CALANGADIE,1921,1939,-19.1,121.5,....., WA,         ..,       ..,     ..
3046,3,CHERRABUN,1906,1972,-18.4833,125.3333,....., WA,91,       ..,     ..
3047,3,DAMPIER DOWNS,1929,1940,-18.4,123.1,....., WA,         ..,       ..,     ..
3048,3,CHERRABUN,1962,  ..,-18.9158,125.5264,GPS, WA,151,       ..,     ..
3049,3,ISADELL DOWNS,1913,1927,-16.9,125.7,....., WA,         ..,       ..,     ..
3050,3,LIVERINGA LOWER,1887,1896,-17.95,124.1667,....., WA,         ..,       ..,     ..
3051,3,MOUNT BARNETT,1983,  ..,-16.7372,125.9086,GPS, WA,401,401,     ..
3052,3,MOUNT HART STATION,1925,  ..,-16.8206,124.9158,GPS, WA,190,       ..,     ..
3053,3,OBAGAMA,1895,1934,-16.7,123.9833,....., WA,         ..,       ..,     ..
3054,3,POINT TORMENT,1904,1923,-17.1,123.7,....., WA,         ..,       ..,     ..
3055,3,ROLLAH,1907,1919,-18.7,121.75,....., WA,         ..,       ..,     ..
3056,3,THANGOO,1892,  ..,-18.1792,122.3583,GPS, WA,5,       ..,     ..
3057,3,CYGNET BAY,1963,  ..,-16.4514,123.0086,GPS, WA,7,9,94201
3058,3,MILLAJIDDIE,1964,1969,-18.8333,124.95,....., WA,60,       ..,     ..
3059,3,NITA DOWNS,1964,  ..,-19.0861,121.6764,GPS, WA,31,       ..,     ..
3060,3,ARDJORIE,1966,1973,-18.7667,123.6833,....., WA,152,       ..,     ..
3061,3,KIMBOLTON RANGE STATION 1,1966,1978,-16.695,123.8625,....., WA,250,       ..,     ..
3062,3,BEVERLEY SP,1959,1967,-16.5833,125.4833,....., WA,         ..,       ..,     ..
3063,3,CHARNLEY RIVER,1968,  ..,-16.7161,125.4603,GPS, WA,400,       ..,     ..
3064,3,FITZROY A.I.M,1970,1974,-18.1667,125.5833,....., WA,         ..,       ..,     ..
3065,3,KALYEEDA,1972,1974,-18.55,124.7167,....., WA,         ..,       ..,     ..
3066,3,PORT SMITH,1973,  ..,-18.5175,121.8072,GPS, WA,10,       ..,     ..
3067,3,GLAROSA POULTRY LODGE,1973,1974,-17.3333,123.6833,....., WA,8,       ..,     ..
3068,3,DAMPIER DOWNS,1973,  ..,-18.5075,123.4561,GPS, WA,120,       ..,     ..
3069,3,KOOLAN ISLAND,1974,1992,-16.1306,123.7764,....., WA,152,143.9,     ..
3070,3,OOBAGOOMA,1974,1974,-16.7667,123.9833,....., WA,70,       ..,     ..
3071,3,NOONKANBAH AIRSTRIP,1944,1945,-18.5,124.8333,....., WA,83,       ..,     ..
3072,3,ONE ARM POINT,1975,1993,-16.4508,123.0653,....., WA,2,       ..,     ..
3073,3,KIMBOLTON,1970,  ..,-16.6872,123.8375,GPS, WA,25,       ..,     ..
3074,3,YAKKAMUNGA,1983,  ..,-17.9347,123.4731,GPS, WA,50,       ..,     ..
3075,3,DERBY MAIN ROADS,1983,  ..,-17.3136,123.6497,GPS, WA,18,       ..,     ..
3076,3,WESTERN FIELD,1983,1985,-19.3283,125.3886,....., WA,240,241,     ..
3077,3,MOWLA BLUFF,1985,1995,-18.5914,123.6133,....., WA,120,       ..,     ..
3078,3,CADJEBUT,1987,2003,-18.7267,125.9875,GPS, WA,200,202,     ..
3079,3,SHELAMAR,1989,  ..,-18.9897,121.7208,GPS, WA,20,       ..,     ..
3080,3,CURTIN AERO,1989,  ..,-17.5769,123.8297,GPS, WA,77.5,78,94204
3081,3,CURTIN,1990,1995,-17.5778,123.8222,....., WA,91,       ..,     ..
3082,3,KIRBY GARDENS,1991,2011,-17.8672,122.3631,GPS, WA,40,       ..,     ..
3083,3,BROOME BIRD OBSERVATORY,1991,1997,-17.9769,122.3431,....., WA,15,       ..,     ..
3084,3,DERBY (MANNING RD),1992,  ..,-17.3436,123.6781,GPS, WA,10,       ..,     ..
3085,3,MOUNT JOWLAENGA,1992,2002,-17.4311,123.0389,GPS, WA,80,       ..,     ..
3086,3,WILLARE BRIDGE,1992,  ..,-17.7278,123.6547,GPS, WA,20,       ..,     ..
3087,3,TANJUNGPANDAN,1993,2000,-17.5606,122.1458,GPS, WA,15,       ..,     ..
3088,2,LARRAWA,1995,  ..,-18.8375,126.5247,GPS, WA,260,       ..,     ..
3089,3,BROOME COMPARISON,1995,2000,-17.9492,122.2339,....., WA,7,9,     ..
3090,3,DEBESA,1995,  ..,-17.7981,124.0772,GPS, WA,100,       ..,     ..
3091,3,BEEFWOOD PARK,1996,  ..,-18.9894,125.8478,GPS, WA,200,       ..,     ..
3092,3,SOUTH EAST WATERBANK,1996,1999,-17.8578,122.2725,GPS, WA,41,41.5,     ..
3093,3,FITZROY CROSSING AERO,1997,  ..,-18.1814,125.5619,GPS, WA,114.5,115,94206
3094,3,WINDJANA GORGE,1997,  ..,-17.4211,124.9247,GPS, WA,95,       ..,     ..
3095,3,PILLARA SPRINGS,1998,2003,-18.3192,125.7806,GPS, WA,160,       ..,     ..
3096,3,WEST ROEBUCK,1999,  ..,-17.8964,122.3122,GPS, WA,32,       ..,95204
3097,3,BEVERLEY SPRINGS AIRSTRIP,1999,2002,-16.73,125.4386,GPS, WA,393,       ..,     ..
3098,3,MOUNT HOUSE AIRSTRIP,2002,  ..,-17.0549,125.7108,GPS, WA,270,       ..,     ..
3099,3,LEOPOLD DOWNS TBRG,2011,  ..,-17.7535,125.3807,GPS, WA,220,       ..,     ..
3100,3,LIVERINGA STATION,2001,  ..,-17.9503,124.2653,GPS, WA,55,       ..,     ..
3101,3,DAMPIER DOWNS AIRSTRIP,2006,  ..,-18.5096,123.4676,GPS, WA,140,       ..,     ..
3102,3,BROOME NTC AWS,1991,  ..,-18.0008,122.2183,MAP 1:250 000, WA,0,1.3,95202
3103,3,MIDDLE LAGOON,2004,  ..,-16.7742,122.5764,GPS, WA,15,       ..,     ..
3104,3,BIDAN,2005,  ..,-17.645,123.1678,GPS, WA,50,       ..,     ..
3105,3,LAUREL DOWNS,2007,  ..,-18.1106,125.3364,GPS, WA,175,       ..,     ..
3106,3,ELLENDALE MINESITE,2007,2015,-17.5669,124.8411,GPS, WA,125,       ..,     ..
3107,3,SILVER GULL CREEK,2014,2015,-16.1903,123.7025,MAP 1:250 000, WA,         ..,       ..,     ..
4000,4,ABYDOS,1917,1974,-21.4167,118.9333,....., WA,226,       ..,     ..
4001,4,WOODBROOK,1897,1974,-20.9,117.1167,....., WA,         ..,       ..,     ..
4002,4,PORT HEDLAND POST OFFICE,1897,1948,-20.3139,118.5742,....., WA,8,       ..,     ..
4003,4,BALFOUR DOWNS,1907,1998,-22.8,120.8625,....., WA,500,       ..,     ..
4004,4,BAMBOO CREEK,1897,  ..,-20.9264,120.2075,GPS, WA,250,       ..,     ..
4005,4,BAMBOO SPRINGS,1905,1978,-22.0517,119.6325,....., WA,400,       ..,     ..
4006,4,BONNEY DOWNS,1907,  ..,-22.1828,119.935,GPS, WA,480,       ..,     ..
4007,4,BOODARIE,1887,1973,-20.4,118.4667,....., WA,6,       ..,     ..
4008,4,CARLINDIE,1907,  ..,-20.6392,119.2431,GPS, WA,120,       ..,     ..
4009,4,COONGAN STATION,1904,1974,-20.6833,119.6667,....., WA,         ..,       ..,     ..
4010,4,COOYA POOYA,1900,1974,-21.0333,117.1333,....., WA,200,       ..,     ..
4011,4,CORUNNA DOWNS,1897,1975,-21.4667,119.8333,....., WA,400,       ..,     ..
4012,4,DE GREY,1888,  ..,-20.1756,119.1908,GPS, WA,15,       ..,     ..
4013,4,ETTRICK,1901,1964,-20.5167,119.6667,....., WA,         ..,       ..,     ..
4014,4,EGINBAH,1930,1974,-20.85,119.7667,....., WA,         ..,       ..,     ..
4015,4,HILLSIDE STATION,1917,  ..,-21.7219,119.3989,GPS, WA,271,       ..,     ..
4016,4,INDEE,1909,  ..,-20.7867,118.5972,GPS, WA,80,       ..,     ..
4017,4,STATION PEAK,1904,1911,-21.15,118.1,....., WA,         ..,       ..,     ..
4018,4,LIMESTONE,1925,1967,-21.1833,119.8167,....., WA,         ..,       ..,     ..
4019,4,MANDORA,1913,  ..,-19.7419,120.8433,GPS, WA,7.5,8,94200
4020,4,MARBLE BAR COMPARISON,1895,2006,-21.1756,119.7497,GPS, WA,182.3,184.9,     ..
4021,4,MOUNT EDGAR,1901,1999,-21.3122,120.0586,....., WA,270,       ..,     ..
4022,4,MUCCAN,1898,  ..,-20.6334,120.0863,GPS, WA,85,       ..,     ..
4023,4,MULYIE,1888,  ..,-20.4619,119.5189,GPS, WA,30,       ..,     ..
4024,4,MUNDABULLANGANA,1899,  ..,-20.5192,118.0603,GPS, WA,20,       ..,     ..
4025,4,NIMINGARRA,1909,1966,-20.5,119.8,....., WA,         ..,       ..,     ..
4026,4,NOREENA DOWNS,1911,  ..,-22.2914,120.1761,....., WA,495,       ..,     ..
4027,4,NULLAGINE,1897,2004,-21.8861,120.1103,GPS, WA,380,       ..,     ..
4028,4,PARDOO STATION,1904,  ..,-20.1078,119.5811,GPS, WA,9,10,94311
4029,4,PARDOO OUT STATION,1954,1954,-19.9333,120.2,....., WA,         ..,       ..,     ..
4030,4,PILGA,1915,1961,-21.4,119.4,....., WA,         ..,       ..,     ..
4031,4,POINT SAMSON,1949,1984,-20.6267,117.1925,....., WA,30,       ..,     ..
4032,4,PORT HEDLAND AIRPORT,1942,  ..,-20.3725,118.6317,GPS, WA,6.4,8.4,94312
4033,4,PYRAMID STATION,1951,  ..,-21.0561,117.4436,GPS, WA,40,       ..,     ..
4034,4,RPF 734 MILE,1913,1947,-22.0167,121.4,....., WA,         ..,       ..,     ..
4035,4,ROEBOURNE,1887,  ..,-20.7767,117.1456,GPS, WA,12,13,     ..
4036,4,STRELLEY,1906,  ..,-20.4681,119.0556,GPS, WA,67,       ..,     ..
4037,4,TALGA TALGA,1897,1970,-21.05,120,....., WA,200,       ..,     ..
4038,4,WALLAREENYA,1908,  ..,-20.7483,118.8172,GPS, WA,97,       ..,     ..
4039,4,WARAMBIE,1937,  ..,-20.9469,117.3733,GPS, WA,30,       ..,     ..
4040,4,WARRALONG,1899,1984,-20.6472,119.5869,....., WA,84,       ..,     ..
4041,4,WARRAWAGINE,1897,  ..,-20.8508,120.6961,GPS, WA,159,       ..,     ..
4042,4,WHIM CREEK,1897,  ..,-20.8414,117.8353,GPS, WA,32,       ..,     ..
4043,4,REDMONT,1925,2012,-21.9931,119.0131,....., WA,387,       ..,     ..
4044,4,WIDJUP OUTCAMP,1921,1948,-19.5,121.3,....., WA,         ..,       ..,     ..
4045,4,ABYDOS WOODSTOCK,1901,1997,-21.62,118.955,....., WA,250,       ..,     ..
4046,4,YARRIE,1898,  ..,-20.6739,120.2044,GPS, WA,100,       ..,     ..
4047,4,TABBA TABBA,1924,1976,-20.8333,118.9,....., WA,120,       ..,     ..
4048,4,YANDEEARRA,1902,1999,-21.2853,118.4042,GPS, WA,120,       ..,     ..
4049,4,SPLIT ROCK,1927,1949,-21.6,119.6,....., WA,         ..,       ..,     ..
4050,4,YALGOORA,1937,1949,-21.6,119.7,....., WA,         ..,       ..,     ..
4051,4,BALLA BALLA,1898,1927,-20.6,117.8,....., WA,         ..,       ..,     ..
4052,4,RPF 80 MILE,1909,1943,-20.5667,120.65,....., WA,         ..,       ..,     ..
4053,4,CONDON,1889,1927,-20,119.4,....., WA,         ..,       ..,     ..
4054,4,COSSACK,1881,  ..,-20.6783,117.1892,GPS, WA,7,       ..,     ..
4055,4,CROYDON,1900,1946,-21.1,117.8,....., WA,         ..,       ..,     ..
4056,4,KANGAN,1935,1945,-21.1,118.5167,....., WA,         ..,       ..,     ..
